Recipe Name,Ingredients,Recipe Instructions,Cuisine Type,Cooking Time,Difficulty Level,Serving Size
Butter Chicken,"Chicken, Butter, Cream, Tomato Puree, Garam Masala, Ginger, Garlic",1. Marinate chicken with spices. 2. Cook in butter. 3. Add tomato puree and cream. 4. Simmer and serve.,North Indian,45 minutes,Medium,4 servings
Aloo Gobi,"Potatoes, Cauliflower, Turmeric, Cumin Seeds, Coriander, Green Chilies","1. Heat oil, add cumin seeds. 2. Add potatoes and cauliflower. 3. Add spices and cook. 4. Garnish with coriander.",North Indian,30 minutes,Easy,4 servings
Dosa,"Rice, Urad Dal, Fenugreek Seeds, Salt, Water",1. Soak rice and dal. 2. Grind to a batter. 3. Ferment overnight. 4. Cook on a griddle.,South Indian,15 minutes,Medium,8 dosas
Palak Paneer,"Spinach, Paneer, Garlic, Ginger, Onion, Tomatoes, Garam Masala, Cream","1. Blanch spinach and make a puree. 2. Fry paneer cubes. 3. Cook onions and tomatoes, add spinach and spices. 4. Mix in paneer and cream.",North Indian,30 minutes,Medium,4 servings
Biryani,"Basmati Rice, Chicken, Yogurt, Onions, Tomatoes, Biryani Masala, Saffron, Ghee",1. Marinate chicken with yogurt and spices. 2. Cook onions and tomatoes. 3. Layer rice and chicken in a pot. 4. Cook on low heat with saffron.,Hyderabadi,60 minutes,Hard,6 servings
Rasam,"Tamarind, Tomatoes, Toor Dal, Mustard Seeds, Curry Leaves, Rasam Powder, Garlic",1. Boil toor dal. 2. Prepare tamarind water. 3. Add spices and tomatoes. 4. Mix in dal and simmer.,South Indian,25 minutes,Easy,4 servings
Chole Bhature,"Chickpeas, Flour, Yogurt, Onions, Tomatoes, Chole Masala, Ginger, Garlic",1. Soak and cook chickpeas. 2. Prepare a spicy tomato gravy. 3. Mix with chickpeas. 4. Serve with fried bhature.,Punjabi,60 minutes,Medium,4 servings
Masoor Dal,"Masoor Dal, Turmeric, Tomatoes, Garlic, Cumin Seeds, Green Chilies, Ghee","1. Boil dal with turmeric. 2. Prepare a tadka with garlic, cumin seeds, and chilies. 3. Mix with dal and simmer.",North Indian,30 minutes,Easy,4 servings
Pav Bhaji,"Potatoes, Cauliflower, Green Peas, Pav Bhaji Masala, Butter, Tomatoes, Onions",1. Boil and mash vegetables. 2. Cook onions and tomatoes. 3. Mix with vegetables and masala. 4. Serve with buttered pav.,Maharashtrian,40 minutes,Medium,4 servings
Sambar,"Toor Dal, Tamarind, Sambar Powder, Drumsticks, Carrots, Curry Leaves, Mustard Seeds",1. Boil dal with turmeric. 2. Prepare tamarind water. 3. Add vegetables and spices. 4. Mix in dal and simmer.,South Indian,35 minutes,Medium,6 servings
Rogan Josh,"Mutton, Yogurt, Onions, Tomatoes, Rogan Josh Masala, Garlic, Ginger",1. Marinate mutton with spices and yogurt. 2. Cook onions and tomatoes. 3. Add mutton and simmer until tender.,Kashmiri,75 minutes,Hard,6 servings
Paneer Tikka,"Paneer, Yogurt, Spices, Bell Peppers, Onions, Garlic",1. Marinate paneer with yogurt and spices. 2. Grill or bake with vegetables.,North Indian,25 minutes,Medium,4 servings
